body_mass,metabolic_rate,family
32000,49.984,Antilocapridae
37800,51.981,Antilocapridae
347000,306.77,Bovidae
4200,10.075,Bovidae
196500,230.073,Bovidae
1e+05,148.949,Bovidae
4290,11.966,Bovidae
32000,46.414,Bovidae
65000,123.287,Bovidae
69125,106.663,Bovidae
9600,20.619,Bovidae
133300,180.15,Bovidae
150000,200.83,Bovidae
407000,224.779,Camelidae
115000,148.94,Camelidae
67000,112.43,Canidae
325000,286.847,Cervidae
21500,46.347,Cervidae
58588,142.863,Cervidae
65320,106.67,Cervidae
85000,119.66,Cervidae
135000,104.15,Suidae
20500,33.165,Tayassuidae
1613,4.9,Tragulidae
1618,4.865,Tragulidae
